ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Monthly Average,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,name
CRI,73.71178562,74.61037162,76.31690028,77.07842914,76.27498572,75.18148558,75.28884285,74.92819947,74.62490005,74.18094278,73.51095677,73.47392867,74.93167169,129.37,78.04,73.05,143.01,304.8,381.05,352.21,392.87,392.6,460.44,342.37,218.44,272.3555138,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Costa Rica
CUB,71.98090806,72.29609243,74.74160013,76.61775378,78.91681521,80.43790782,81.38480025,81.37321557,80.55550757,78.90001582,76.10858439,73.49590792,77.23413855,36.3,38.63,48.57,73.45,176.07,198.7,144.83,166.01,191,157.27,67.15,31.5,110.7905719,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Cuba
CYP,51.14898539,51.92284989,55.38469982,61.84400029,68.96615056,76.03880014,80.69450045,80.69450045,76.61120071,69.46385012,61.14064999,54.30065007,65.68430004,85.56,71.53,51.14,26.5,17.49,4.49,1.38,2.48,5.03,27.82,49,93.84,36.35456975,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Cyprus
CZE,26.93615002,30.09379506,37.04780751,45.49010001,54.13725509,59.74673012,62.79156521,62.42873001,56.28834497,47.45480908,37.07599548,30.0836084,45.79789995,39.58,36.54,39.52,46.3,73.55,85.17,79.24,79,52.4,41.58,48.23,45.89,55.58317604,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Czech Republic
DEU,31.14036733,33.00242048,38.97418116,45.83747209,54.09180713,59.89440758,62.93854431,62.54355513,57.02414867,48.97721114,39.68692983,33.58538225,47.30801341,51.22,42.02,49.1,52.48,66.27,80.24,73.68,72.37,57.54,50.34,59.02,59.23,59.45831087,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Germany
DJI,73.95234255,75.45328489,78.35591447,81.26780003,84.56077189,88.50791485,90.28477146,89.29297088,86.16277128,81.32411428,77.32142906,74.60445715,81.75740035,8.4,17.8,18.32,26.28,14.96,2.78,29.54,40.16,12.87,7.42,9.81,7.83,16.34876687,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Djibouti
DNK,31.80950176,31.82343004,36.03307357,42.56234859,51.39146425,57.92321429,60.60457137,60.62424315,55.41382144,48.846303,40.8958636,34.9620755,46.07416129,55.82,36.7,44.31,39.39,47.15,54.42,64.75,67.61,71.55,74.27,77.87,64.81,58.22082138,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Denmark
DOM,71.1738502,71.78438728,73.18714998,74.86283731,75.89266267,77.01698761,77.38092454,78.14513759,77.63697507,76.5165874,74.74325028,72.5382498,75.07354972,78.36,69.67,52.93,99.93,192.79,130.62,122.92,121.11,151.27,162.54,135.22,99.71,118.0893234,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dominican Republic
DZA,53.82049516,58.62235053,64.24430502,71.4854868,79.54525042,87.43364221,90.57005711,89.55417039,83.88375655,74.01042051,63.1561918,55.31114508,72.63642405,8.99,8.6,9.39,8.04,6.56,3.37,2.07,3.69,5.13,7.33,9.53,9.28,6.831129064,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Algeria
ECU,71.0699836,71.20416751,71.46755355,71.52456746,70.78020467,69.56706739,68.74591166,69.28662326,69.7542047,70.26607451,70.33520688,70.70573499,70.39228363,189.37,208.45,238.7,240.74,185.07,156.92,116.12,102.42,112.69,138.87,124.55,131.38,162.1061538,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Ecuador
